hash;url
4ea833bb248e4f93f036926e5795abbf4e422765;https://support.yealink.com/en/portal/docList?archiveType=software&productCode=81b51312d8e53937
b86d8aa83dd2911976a675623a148be0b27c3a92;https://support.yealink.com/en/portal/docList?archiveType=software&productCode=85585442c3aeb1fb
1f1b5280231cac76f721e3e43e660585e7817312;https://support.yealink.com/en/portal/docList?archiveType=software&productCode=9f6c48bb889a54fb
4aca005b2ca00cef4a5ad5d63fa95d64e906faab;https://www.lydis.nl/
9f0d568c4f323c82fa570568866bfa103da664c5;https://www.lydis.nl/blog/2n-verscherpt-cybersecurity-richtlijnen
e10cd8640c91f364902a2b04ed79d42834833453;https://www.lydis.nl/blog/stappenplan-videoconferencing-voor-gemeenten
e65c8992a4991b81a0c4818f2a984528a8f50a8f;https://www.lydis.nl/oplossingen/yealink-security
bf9712964c7612d458dd32d47282f4f23bf4dad5;https://www.lydis.nl/over-ons/lydis-statement
d2779b816e5d73173bab32dace5e70615118829d;https://www.lydis.nl/over-ons/lydis-statement-2
27067fa39cbc203078114572d845474e084fb785;https://www.lydis.nl/over-ons/yealink-security-adviezen
6b04122bf4fd0117c232b973dc876fe3efb74c36;https://www.lydis.nl/over-ons/yealink-security-bronnen
2b4a1a1efbc9ab4c3fab8942ed8b89902e2276e8;https://www.lydis.nl/over-ons/yealink-security-faq
1c68c9c788a45f91babbf836a56d363232deb7f2;https://www.lydis.nl/over-ons/yealink-security-nieuws-updates
deb3653e142c24fc0200cab4c261733e118c0b9e;https://www.lydis.nl/service-garantie/faq-veelgestelde-vragen
5f5c7489ed1338c6ef2caee8ffb4b0595ab69e0b;https://www.lydis.nl/service-garantie/yealink-privacy-en-security
7dfe7d71af0c472f3ef0ee0091d377ce40ff0c34;https://www.lydis.nl/service-garantie/yealink-security-en-opvolging
7c97a31e8fbd8da770e334c654ab67ca41ad91a5;https://www.lydis.nl/statement-dahua-cybersecurity
47ed702ce881ff9778af5b3c9086501b173483b6;https://www.lydis.nl/yealink-beveiliging-maatregelen
af1f202726a8951290210c9a3ddb2b21612649fe;https://www.lydis.nl/yealink-hardware/yealink-kwaliteit-en-security
6c5af62ae9dccbe2da132ee6f0a49fc85cc9bfdf;https://www.yealink.com/en/trust-center
497ced83c9dfdb412e911a33328314c7c8557a2c;https://www.yealink.com/en/trust-center/privacy
f8bdfdf6b3c6ebb6bb334ecd0aa8e59f3e6784ff;https://www.yealink.com/en/trust-center/resources
99e82a53e74e05c86bce979f2f0f6468842f7b80;https://www.yealink.com/en/trust-center/security-advisories
00a1538310374191f30413d9d250dbd05b4fa109;https://www.yealink.com/en/trust-center/security-compliance
592b79265821bf938e8b4bb821c87a1943068bfa;https://www.yealink.com/onepage_66.html
